Variavel,ID,Descricao
Votante,334,Adelor Vieira
Votante,335,Alice Portugal
Votante,336,Almerinda de Carvalho
Votante,337,Almir Moura
Votante,338,Aloysio Nunes Ferreira
Votante,339,Álvaro Dias
Votante,340,Amauri Gasques
Votante,341,André de Paula
Votante,342,André Luiz
Votante,343,André Zacharow
Votante,344,Ann Pontes
Votante,345,Anselmo de Jesus
Votante,346,Antonio Cambraia
Votante,347,Antônio Carlos Biffi
Votante,348,Antonio Carlos Biscaia
Votante,349,Antonio Carlos Magalhães Neto
Votante,350,Antonio Nogueira
Votante,351,Ariosto Holanda
Votante,352,Aroldo Cedraz
Votante,353,Ary José Vanazzi
Votante,354,Assis Miguel do Couto
Votante,355,Athos Avelino
Votante,356,Benedito de Lira
Votante,357,Benjamin Maranhão
Votante,358,Bernardo Ariston
Votante,359,Beto Albuquerque
Votante,360,Bismarck Maia
Votante,361,Bosco Costa
Votante,362,Carlos Abicalil
Votante,363,Carlos Alberto Leréia
Votante,364,Carlos Eduardo Cadoca
Votante,365,Carlos Melles
Votante,366,Carlos Mota
Votante,367,Carlos Sampaio
Votante,368,Carlos Souza
Votante,369,Carlos Willian
Votante,370,Cezar Silvestri
Votante,371,Cláudio Magrão
Votante,372,Clóvis Fecury
Votante,373,Colbert Martins
Votante,374,Colombo
Votante,375,Coronel Alves
Votante,376,Daniel Almeida
Votante,377,Darci Coelho
Votante,378,Davi Alcolumbre
Votante,379,Devanir Ribeiro
Votante,380,Dimas Ramalho
Votante,381,Dr. Francisco Gonçalves
Votante,382,Dr. Pinotti
Votante,383,Dr. Ribamar Alves
Votante,384,Dr. Rodolfo Pereira
Votante,385,Dra. Clair
Votante,386,Durval Orlato
Votante,387,Edna Macedo
Votante,388,Edson Duarte
Votante,389,Edson Ezequiel
Votante,390,Eduardo Cunha
Votante,391,Eduardo Gomes
Votante,392,Eduardo Paes
Votante,393,Eduardo Sciarra
Votante,394,Eduardo Valverde
Votante,395,Elaine Costa
Votante,396,Elimar Máximo Damasceno
Votante,397,Eliseu Padilha
Votante,398,Enéas
Votante,399,Enio Tatico
Votante,400,Érico Ribeiro
Votante,401,Fábio Souto
Votante,402,Fátima Bezerra
Votante,403,Fernando de Fabinho
Votante,404,Francisco Appio
Votante,405,Francisco Dornelles
Votante,406,Francisco Turra
Votante,407,Geraldo Resende
Votante,408,Geraldo Thadeu
Votante,409,Giacobo
Votante,410,Gilberto Nascimento
Votante,411,Gonzaga Mota
Votante,412,Guilherme Menezes
Votante,413,Hamilton Casara
Votante,414,Heleno Silva
Votante,415,Hélio Esteves
Votante,416,Henrique Afonso
Votante,417,Homero Barreto
Votante,418,Humberto Michiles
Votante,419,Ildeu Araujo
Votante,420,Iriny Lopes
Votante,421,Isaías Silvestre
Votante,422,Ivo José
Votante,423,Jackson Barreto
Votante,424,Jader Barbalho
Votante,425,Jamil Murad
Votante,426,Jandira Feghali
Votante,427,Janete Capiberibe
Votante,428,Jefferson Campos
Votante,429,João Batista
Votante,430,João Campos
Votante,431,João Correia
Votante,432,João Fontes
Votante,433,João Mendes de Jesus
Votante,434,João Paulo Gomes da Silva
Votante,435,Jorge Boeira
Votante,436,José Carlos Araújo
Votante,437,José Carlos Machado
Votante,438,José Divino
Votante,439,José Eduardo Cardozo
Votante,440,José Ivo Sartori
Votante,441,José Mentor
Votante,442,José Roberto Arruda
Votante,443,José Santana de Vasconcellos
Votante,444,Josias Gomes
Votante,445,Josias Quintal
Votante,446,Jovino Cândido
Votante,447,Júlio Cesar
Votante,448,Júlio Delgado
Votante,449,Julio Lopes
Votante,450,Kelly Moraes
Votante,451,Leandro Vilela
Votante,452,Leodegar Tiscoski
Votante,453,Leonardo Mattos
Votante,454,Leonardo Monteiro
Votante,455,Leonardo Picciani
Votante,456,Leonardo Vilela
Votante,457,Leônidas Cristino
Votante,458,Lindbergh Farias
Votante,459,Lobbe Neto
Votante,460,Luciana Genro
Votante,461,Luciano Leitoa
Votante,462,Luiz Bassuma
Votante,463,Luiz Carlos Santos
Votante,464,Luiz Carreira
Votante,465,Luiz Couto
Votante,466,Lupércio Ramos
Votante,467,Carlos Manato
Votante,468,Marcelino Fraga
Votante,469,Marcello Siqueira
Votante,470,Marcelo Guimarães Filho
Votante,471,Marcelo Ortiz
Votante,472,Marcos Abramo
Votante,473,Maria do Rosário
Votante,474,Maria Helena
Votante,475,Maria Lucia
Votante,476,Mariângela Duarte
Votante,477,Mário Heringer
Votante,478,Maurício Quintella Lessa
Votante,479,Maurício Rabelo
Votante,480,Maurício Rands
Votante,481,Mendonça Prado
Votante,482,Miguel de Souza
Votante,483,Milton Cardias
Votante,484,Moraes Souza
Votante,485,Moreira Franco
Votante,486,Murilo Zauith
Votante,487,Mussa Demes
Votante,488,Nazareno Fonteles
Votante,489,Nelson Bornier
Votante,490,Neucimar Fraga
Votante,491,Neyde Aparecida
Votante,492,Nilson Pinto
Votante,493,Nilton Baiano
Votante,494,Odair Cunha
Votante,495,Onyx Lorenzoni
Votante,496,Pastor Amarildo
Votante,497,Pastor Francisco Olímpio
Votante,498,Pastor Frankembergen
Votante,499,Pastor Pedro Ribeiro
Votante,500,Pastor Reinaldo
Votante,501,Patrus Ananias
Votante,502,Paulo Afonso
Votante,503,Paulo Bauer
Votante,504,Paulo Bernardo
Votante,505,Paulo Pimenta
Votante,506,Perpétua Almeida
Votante,507,Professor Irapuan Teixeira
Votante,508,Professora Raquel Teixeira
Votante,509,Promotor Afonso Gil
Votante,510,Reginaldo Lopes
Votante,511,Reinaldo Betão
Votante,512,Renato Casagrande
Votante,513,Renato Cozzolino
Votante,514,Renildo Calheiros
Votante,515,Robério Nunes
Votante,516,Roberto Freire
Votante,517,Roberto Gouveia
Votante,518,Roberto Magalhães
Votante,519,Rogério Lucio Silva
Votante,520,Rogério Teófilo
Votante,521,Ronaldo Cezar Coelho
Votante,522,Ronaldo Dimas
Votante,523,Ronivon Santiago
Votante,524,Rubens Otoni
Votante,525,Rubinelli
Votante,526,Sandes Júnior
Votante,527,Sandra Rosado
Votante,528,Sandro Mabel
Votante,529,Sandro Matos
Votante,530,Sarney Filho
Votante,531,Selma Schons
Votante,532,Severiano Alves
Votante,533,Sigmaringa Seixas
Votante,534,Suely Campos
Votante,535,Takayama
Votante,536,Tarcísio Zimmermann
Votante,537,Terezinha Fernandes
Votante,538,Thelma de Oliveira
Votante,539,Valdenor Guedes
Votante,540,Vander Loubet
Votante,541,Vanderlei Assis
Votante,542,Vicente Cascione
Votante,543,Vicentinho
Votante,544,Vieira Reis
Votante,545,Vignatti
Votante,546,Wagner Lago
Votante,547,Walter Feldman
Votante,548,Washington Luiz
Votante,549,Wasny de Roure
Votante,550,Wellington Fagundes
Votante,551,Wellington Roberto
Votante,552,Wilson Santiago
Votante,553,Wladimir Costa
Votante,554,Zé Geraldo
Votante,555,Zé Lima
Votante,556,Zelinda Novaes
Votante,557,Zequinha Marinho
Votante,558,Zezéu Ribeiro
Votante,559,Zico Bronzeado
Votante,560,Zonta
Votante,561,Bonifácio de Andrada
Votante,562,César Medeiros
Votante,563,Deley
Votante,564,Ivan Ranzolin
Votante,565,João Lyra
Votante,566,Juíza Denise Frossard
Votante,567,Júnior Betão
Votante,568,Lúcia Braga
Votante,569,Nélio Dias
Votante,570,Raul Jungmann
Votante,571,Simplício Mário
Votante,572,Tatico
Votante,573,Zé Gerardo
Votante,574,Chico Alencar
Votante,575,Fernando Lopes
Votante,576,Ivan Valente
Votante,577,João Alfredo
Votante,578,Maninha
Votante,579,Paulo Rubem Santiago
Votante,580,Mauro Passos
Votante,581,Tadeu Filippelli
Votante,582,Gervásio Oliveira
Votante,583,Gorete Pereira
Votante,584,Jorge Gomes
Votante,585,Jurandir Boia
Votante,586,Sérgio Caiado
Votante,587,Zarattini
Votante,588,Vadinho Baião
Votante,589,Ademir Camilo
Votante,590,Ana Guerra
Votante,591,André Costa
Votante,592,André Figueiredo
Votante,593,Antenor Naspolini
Votante,594,Edinho Montemor
Votante,595,Jair de Oliveira
Votante,596,Marco Maia
Votante,597,Natan Donadon
Votante,598,Walter Barelli
Votante,599,Chicão Brígido
Votante,600,Vitorassi
Votante,601,Valdir Colatto
Votante,602,Ana Alencar
Votante,603,Alexandre Maia
Votante,604,Fernando Estima
Votante,605,Afonso Hamm
Votante,606,Reinhold Stephanes
Votante,607,José Otávio Germano
Votante,608,Francisco Escórcio
Votante,609,Ronaldo Cunha Lima
Votante,610,Cláudio Diaz
Votante,611,Albano Franco
Votante,612,Alceni Guerra
Votante,613,Alexandre Silveira
Votante,614,Alfredo Kaefer
Votante,615,Aline Corrêa
Votante,616,Ana Arraes
Votante,617,Andre Vargas
Votante,618,Andreia Zito
Votante,619,Angela Amin
Votante,620,Angela Portela
Votante,621,Angelo Vanhoni
Votante,622,Antônio Andrade
Votante,623,Antonio Bulhões
Votante,624,Antonio Palocci
Votante,625,Antônio Roberto
Votante,626,Arnaldo Jardim
Votante,627,Arnaldo Vianna
Votante,628,Augusto Carvalho
Votante,629,Ayrton Xerez
Votante,630,Homero Barbosa Neto
Votante,631,Bel Mesquita
Votante,632,Beto Faro
Votante,633,Bilac Pinto
Votante,634,Bruno Araújo
Votante,635,Bruno Rodrigues
Votante,636,Cândido Vaccarezza
Votante,637,Carlos Alberto Canuto
Votante,638,Carlos Brandão
Votante,639,Carlos Zarattini
Votante,640,Celso Maldaner
Votante,641,Chico Abreu
Votante,642,Chico D'Angelo
Votante,643,Chico Lopes
Votante,644,Cida Diogo
Votante,645,Ciro Gomes
Votante,646,Ciro Pedrosa
Votante,647,Cleber Verde
Votante,648,Clodovil Hernandes
Votante,649,Cristiano Matheus
Votante,650,Dagoberto Nogueira
Votante,651,Dalva Figueiredo
Votante,652,Davi Alves Silva Júnior
Votante,653,Décio Lima
Votante,654,Domingos Dutra
Votante,655,Dr. Adilson Soares
Votante,656,Dr. Nechar
Votante,657,Dr. Paulo César
Votante,658,Dr. Talmir
Votante,659,Dr. Ubiali
Votante,660,Edgar Moury
Votante,661,Edigar Mão Branca
Votante,662,Edio Lopes
Votante,663,Edson Aparecido
Votante,664,Edson Santos
Votante,665,Eduardo Amorim
Votante,666,Eduardo da Fonte
Votante,667,Eduardo Lopes
Votante,668,Efraim Filho
Votante,669,Eliene Lima
Votante,670,Elismar Prado
Votante,671,Emanuel Fernandes
Votante,672,Ernandes Amorim
Votante,673,Eudes Xavier
Votante,674,Eugênio Rabelo
Votante,675,Felipe Bornier
Votante,676,Felipe Maia
Votante,677,Fernando Chucre
Votante,678,Fernando Coelho Filho
Votante,679,Fernando Melo
Votante,680,Filipe Pereira
Votante,681,Flaviano Melo
Votante,682,Flávio Bezerra
Votante,683,Francisco Praciano
Votante,684,Francisco Rossi
Votante,685,Francisco Tenório
Votante,686,Frank Aguiar
Votante,687,George Hilton
Votante,688,Geraldo Pudim
Votante,689,Germano Bonow
Votante,690,Gladson Cameli
Votante,691,Guilherme Campos
Votante,692,Homero Pereira
Votante,693,Humberto Souto
Votante,694,Ilderlei Cordeiro
Votante,695,Iran Barbosa
Votante,696,Jairo Ataíde
Votante,697,Janete Rocha Pietá
Votante,698,Jerônimo Reis
Votante,699,Jilmar Tatto
Votante,700,Jô Moraes
Votante,701,João Bittar
Votante,702,João Oliveira
Votante,703,Joaquim Beltrão
Votante,704,Jofran Frejat
Votante,705,Jorginho Maluly
Votante,706,José Carlos Vieira
Votante,707,José Guimarães
Votante,708,José Paulo Tóffano
Votante,709,Joseph Bandeira
Votante,710,Julião Amin
Votante,711,Jurandy Loureiro
Votante,712,Jusmari Oliveira
Votante,713,Juvenil
Votante,714,Laerte Bessa
Votante,715,Lázaro Botelho
Votante,716,Leandro Sampaio
Votante,717,Lelo Coimbra
Votante,718,Léo Vivas
