id,votacao,alpha
420,1103,0.00027050154
421,1135,0.00060365023
422,1137,-0.008017117
423,1138,-0.0019964706
424,1151,0.0018344803
425,1154,-0.0044225324
426,1157,0.0037920095
427,1159,0.00013117262
428,1187,0.00155381
429,1230,0.0003056813
430,1232,-0.0030759608
431,1237,0.0008470395
432,1252,-0.00052124966
433,1253,-0.003770643
434,1260,0.0015352662
435,1286,-0.0004863349
436,1289,-0.0065396912
437,1371,0.0005873872
438,1377,-2.1585445e-05
439,1402,-0.0003183423
440,1419,-6.436778e-05
441,1425,-0.00017038951
442,1434,0.000119610224
443,1456,-0.00016078747
444,1547,-0.0010187032
445,1563,-0.00036633544
446,1580,-0.00016829761
447,1591,-0.0020298755
448,1600,-0.0042461655
449,1610,-6.720491e-05
450,1614,-0.00040096024
451,1616,0.00198572
452,1618,8.9602094e-05
453,1621,0.00019691703
454,1635,8.624541e-05
455,1643,9.446975e-05
456,1647,-0.0007438774
457,1660,1.8894007e-06
458,1662,-0.000107830616
459,1667,0.00011212373
460,1676,6.950696e-05
461,1711,0.0034633095
462,1712,2.3889426e-05
463,1727,-0.000102697726
464,1755,-0.0027340052
465,1771,0.0008031404
466,1775,-0.000119768185
467,1793,2.7645874e-05
468,1797,-0.0003484073
469,1851,-0.005931263
470,1854,3.349548e-05
471,1878,-3.7256144e-05
472,1885,-0.0049798638
473,1902,-2.7896353e-05
474,1913,-0.000114591014
475,1948,-0.004363679
476,1968,0.0013307006
477,2031,-0.002274451
478,2038,-0.0002345395
479,2054,0.0011351182
480,2065,0.0010553628
481,2073,-0.00018409698
482,2100,-0.003998044
483,2174,0.0008178011
484,2190,-0.004964865
485,2224,-7.1515824e-05
486,2242,-4.9120612e-05
487,2253,-5.172459e-05
488,2267,-0.00012828453
489,2275,3.628912e-05
490,2306,1.8264982e-06
491,2335,0.002951451
492,2344,-0.00045268852
493,2353,0.0018106508
494,2387,0.0009647906
495,2448,0.00018833854
496,2484,-0.00034631928
497,2580,6.1006576e-05
498,2586,-0.004157945
499,2626,0.00065622164
500,2628,0.00038369044
501,2631,3.7976028e-05
502,2675,4.325113e-05
503,2695,-0.00023252403
504,2713,6.518735e-05
505,2714,4.8297778e-05
506,2726,0.0001670678
507,2728,0.00027589366
508,2886,0.00022344588
509,232,0.00087982335
510,429,0.0015225062
511,510,0.00014330121
512,917,0.00012541772
513,1241,0.00021058116
514,1333,-0.0006512854
515,1440,2.4901092e-05
516,1835,-0.0003139954
517,2028,-4.6173882e-05
518,2036,-7.4815616e-06
519,2072,-0.000107846136
520,2137,0.00014440036
521,2198,0.00021814744
522,2228,-0.00040712272
523,2285,-0.0013005751
524,2418,-0.0001756888
525,2556,-1.9198429e-05
526,2568,0.0012472866
527,2621,0.0018723847
528,2663,5.8175283e-06
529,2696,-0.00022086152
530,2859,-0.0005419774
531,2905,-0.009833359
532,3127,0.00011992426
533,3165,0.00072602014
534,3169,6.3982574e-05
535,3202,0.0033880821
536,3247,0.0010488613
537,3306,-0.00011972947
538,3327,-0.0026743812
539,3341,0.00014821491
540,3477,0.0002460613
541,3521,0.0007047477
542,3580,-8.279157e-05
543,3609,-7.006616e-05
544,3614,-0.00067974295
545,3625,-2.5804991e-05
546,3649,-0.00315514
547,3661,0.00012374768
548,3708,9.224716e-05
549,3721,3.274659e-05
550,3783,-0.00046845432
551,3792,0.00079125946
552,3796,8.7955195e-05
553,3802,0.00013656766
554,3826,-0.00011754759
555,3835,-0.00010314237
556,3905,0.00029616646
557,3943,-0.0007649397
558,4007,-0.0011333028
559,4013,0.00014745952
560,4079,0.005198146
561,4102,0.00018443928
562,4171,7.004941e-05
563,4276,-6.37685e-05
564,4303,0.0010911308
565,4343,0.00042545976
566,4350,-0.00013515983
567,4420,-0.009171196
568,4432,-0.000515136
569,4481,-0.00013890918
570,4617,-0.00010350428
571,4627,0.0018853474
572,4628,-1.6097543e-05
573,4639,0.00011521353
574,4641,0.0011453843
575,4650,-0.0010179013
576,4679,0.0010840616
577,4697,0.0021176348
578,4713,-0.00058772246
579,4762,-6.6068416e-05
580,4791,-0.000223145
581,4792,2.0026815e-05
582,4800,0.00019675818
583,4842,0.00044708682
584,4861,0.003464891
585,4862,0.0038426567
586,4876,-0.0001638762
587,4900,0.0048955684
588,4947,-0.00021815195
589,4963,0.00028468898
590,4965,0.0016811662
591,4967,-4.964687e-05
592,4976,2.368106e-05
593,4983,-0.0014402975
594,5012,0.0007162418
595,5020,3.3367327e-05
596,5028,0.00031801988
597,5062,0.000573626
598,5065,5.655269e-06
599,5105,0.0005948754
600,5127,-0.0008960301
601,5130,0.0016683977
602,5135,8.502383e-05
603,5136,-0.00026189824
604,5163,5.387448e-05
605,5253,0.000116017836
606,5286,0.0008520767
607,5287,-0.0014716875
608,5310,-0.0007709024
609,5327,-0.0015598335
610,5356,-0.005050916
611,5357,-0.00028945197
612,5423,0.000543909
613,5468,1.5336984e-05
614,5487,-0.0036453034
615,5488,-0.007424163
616,5491,-0.00024817605
617,5577,-0.0007295438
618,167,-4.0535546e-05
619,591,-0.0009878566
620,57,0.00014127488
621,200,0.0003360101
622,234,-0.0015075853
623,255,-0.0048137396
624,271,0.00025098448
625,301,-0.00018363778
626,335,0.00017261504
627,371,-3.2608703e-05
628,455,-0.0021585438
629,598,0.0018271118
630,809,7.3266725e-05
631,855,-0.00013016144
632,896,0.00019470375
633,915,0.00012023556
634,978,-0.006557067
635,1008,0.0009521133
636,1009,3.3644537e-05
637,1010,0.00013282112
638,1011,-3.306834e-05
639,1012,-0.00017739445
640,1013,5.163608e-05
641,1014,4.9004113e-05
642,1015,-0.00010373093
643,1016,-0.00034434075
644,1017,0.00012833708
645,1018,0.000114886265
646,1019,0.0002528554
647,1020,0.0009275905
648,1021,-0.0035667277
649,1022,-0.0026757345
650,1023,-0.0001422765
651,1024,0.0014110492
652,1025,3.43399e-05
653,1027,-0.00085767603
654,1028,0.0005788447
655,1102,-0.00083631155
656,1108,0.00081739546
657,1116,0.001672335
658,1140,-0.0010104968
659,1336,9.137744e-05
660,1431,-0.0036512322
661,1439,0.001959227
662,1806,-2.2369408e-05
663,1826,4.592754e-05
664,1842,8.837794e-05
665,1843,0.00041532377
666,1869,-9.664597e-05
667,1873,-0.0020939829
668,1901,0.0005605423
669,1906,-2.6745256e-05
670,2122,0.0013693436
671,2269,-1.0320502e-05
672,2278,0.00019151349
673,2283,0.00016106383
674,2291,0.00060407276
675,2386,-6.0389808e-05
676,2390,-0.0013145108
677,2397,-0.00034321114
678,2669,-0.0039046481
679,2777,-0.007890843
680,3132,-0.00011183694
681,3512,-0.00014911422
682,3590,0.00010252047
683,3735,-0.00013644066
684,4211,6.819618e-05
685,4734,-0.00012871205
686,5240,0.001088809
687,1800,-0.000681942
688,2225,0.00012659414
689,483,0.00015213333
690,2019,0.00072312384
691,2343,9.7940865e-06
692,159,-0.00015077871
693,356,0.00036128983
694,606,3.9070386e-05
695,1262,-3.0536045e-05
696,1422,-0.0006752623
697,1463,-0.00033510858
698,1749,-0.0019739273
699,1788,0.00076778897
700,1792,-0.0019079988
701,1967,-0.0012089696
702,2003,8.314999e-05
703,1710,-5.2980664e-05
