id,votacao,alpha,dim_lat1,dim_lat2
168,308633-29,0.009277139,-1.2896235,0.5849234
169,310833-66,-0.0019863548,1.6218603,0.36489996
170,310833-87,0.4787083,0.37317735,-0.12993461
171,311012-25,-0.0076908856,1.6824533,-0.2802654
172,311025-33,-0.0044302912,1.7643675,0.6671087
173,311031-112,-0.0014042433,1.0801798,-0.19587289
174,311031-134,1.7702137,0.9587186,-0.120928556
175,311031-48,-1.09056,-0.5530429,0.102489896
176,311031-76,1.630468,1.1045015,-0.16538137
177,311039-54,-0.005048233,1.0655148,0.16715662
178,311039-65,-8.233359e-05,-1.0601356,-0.8095302
179,313522-23,-0.13569643,1.5296341,1.2160647
180,313522-41,-0.008492098,1.8838847,1.2320553
181,313707-67,-0.0026124562,1.1623838,0.30375403
182,314558-32,0.0111523345,1.6908307,-0.45137098
183,314558-57,1.6871992,0.93641496,-0.26285267
184,314558-67,0.0094162235,0.1571883,-0.5801312
185,314558-94,-0.54315656,0.69119847,0.29271156
186,314559-59,-3.966023,-1.0294871,-0.31639752
187,316491-51,0.008543259,0.62877536,0.027236985
188,316491-75,2.2587976,1.0394529,-0.025406968
189,316493-55,-0.19310741,0.8819161,0.26521662
190,316493-77,0.9202292,0.537979,-0.49251032
191,318828-40,-0.004801251,1.5133445,-0.29636517
192,319342-53,2.3993025,0.895383,-0.10158854
193,319342-77,-2.5342424,-0.18561271,0.09577754
194,319342-92,0.839535,-0.4250056,-0.8162737
195,320786-45,-2.4073937,-0.5930169,0.2100381
196,328072-6,1.497894,1.0350271,-0.055511743
197,332482-60,2.2433622,0.7467381,0.081563525
198,334677-30,0.00805079,-2.0699325,-1.4515624
199,335039-55,-0.0013656094,-0.095721036,-0.6763801
200,56373-83,-0.9425053,1.41352,1.0573236
201,56373-84,-0.14564267,-0.11582477,-0.2752831
202,56373-95,-0.3776934,-0.14199474,-0.32609004
203,104342-141,-0.8434492,-1.5175767,0.7372719
204,104342-99,0.6290253,1.3816391,-0.49138612
205,14641-68,0.0055456418,-1.4844618,-1.0727495
206,256022-206,-0.0036622798,-1.4905474,0.79714763
207,264293-105,-0.010981949,1.048369,0.62987834
208,264293-117,0.011401562,-1.5638435,-0.90616614
209,264293-69,-0.0057058125,1.1058581,0.25413835
210,264293-78,0.0009276612,2.6178231,0.22231787
211,264293-88,0.00010173345,-0.8843161,-0.30024114
212,307925-175,0.0028325145,0.08133818,-0.5772288
213,327896-22,0.00018539724,-1.9687433,-1.3254988
214,330427-122,0.0006219138,1.4869616,0.3205128
215,330427-143,-7.4022173e-06,1.3521229,-0.07959129
216,330427-242,-0.65443295,-1.6931822,0.6027302
217,330427-309,-0.0036903678,-1.2320013,0.42854026
218,330427-311,-0.013907559,-1.1481051,0.40104768
219,330427-313,-0.0036846749,-1.2660418,0.347625
220,330427-318,-0.0108058425,-1.1602497,0.28893405
221,335178-67,0.016408669,0.75727934,0.1490804
222,335937-47,-0.006642592,1.3547661,-0.3908758
223,335937-79,0.0011505826,0.9948305,0.14800693
224,338066-34,0.001106852,-1.2356322,0.5682826
225,339302-57,2.1432548,0.092439,0.14895463
226,339551-46,-0.004509654,-3.2210197,-0.5337139
227,339551-65,0.0077590086,1.9195977,-0.41448152
228,339551-83,-0.029634157,-2.6592367,0.8649136
229,339552-29,-0.004772745,-1.2147702,0.45367104
230,339630-35,0.0023405764,-1.821218,0.59030515
231,339689-104,0.0027757164,2.0394363,-0.3294215
232,339689-114,0.010928493,1.7385428,-0.2925294
233,339689-186,-0.020142086,-2.1537426,0.9287013
234,339689-196,1.2554451,0.34912467,-0.2583681
235,339689-67,-4.7361806e-05,-2.1130083,0.6823543
236,339689-82,-0.0022165373,2.8149223,2.003908
237,339689-88,-0.0050095646,1.8002285,-0.030742703
238,339696-112,1.0265139e-05,2.8302288,-0.49891317
239,339696-121,-0.01310178,1.7182795,0.69163716
240,339696-91,-0.015501214,-1.2247686,0.48164153
241,339705-102,0.013518206,1.6993328,-0.6367886
242,339705-120,-0.013352943,1.7331356,-0.33461586
243,339705-147,1.6828966,0.9879064,0.07515015
244,339705-95,0.00013862248,1.9904629,1.4085333
245,339823-36,-0.11387508,0.93970543,0.21003729
246,339823-56,-1.0459548,0.7251278,0.47481078
247,339823-84,-0.0003285735,1.5510962,1.0236938
248,339846-80,-0.00030182782,2.8409534,1.7770126
249,339847-110,-0.0005136186,2.4581373,1.0365341
250,339847-121,0.008063113,1.3239387,-0.3178666
251,339847-86,0.0016521064,2.6323166,1.1461111
252,339848-105,-0.00033590314,1.5956832,0.78048456
253,339850-113,-0.0014178815,1.5039103,1.2178019
254,339850-186,-0.00988154,0.3506472,-0.96376264
255,339851-114,0.008075618,2.0695853,0.73014313
256,339853-79,-0.017155753,-1.4758375,0.49534288
257,339854-37,-0.011061268,-0.81075895,0.58793193
258,340369-4,-0.007294987,-0.44682804,-0.37203377
259,344056-55,0.03247245,1.5216292,-0.47720328
260,344468-77,-3.942148e-05,-3.1183321,1.4955378
261,345069-114,-0.0007849006,0.68416256,0.56755894
262,345069-119,-0.7768407,0.009311078,-0.024720347
263,345069-121,1.034618,0.28814545,-0.15625784
264,345070-79,0.2840475,1.5270063,-0.6546743
265,346697-65,-0.00524042,-2.3910182,1.110376
266,346782-62,-0.98383605,-1.5657918,0.44072375
267,346913-109,0.00021902859,1.3868378,0.38919058
268,347030-10,0.00081605685,-0.6097097,-0.3015336
269,347832-48,-0.60435903,0.08390898,-0.19641039
270,348693-57,-0.0045744055,-2.4582007,0.7149208
271,348711-50,-0.04632873,-1.823152,0.6827214
272,349771-61,-1.4759666,-0.8190856,0.2372248
273,350464-54,-0.61931986,0.3427131,-0.18004395
274,350464-60,2.2380526,-0.0027441203,0.05444175
275,350464-72,-2.5976892,0.016949032,-0.104788065
276,350489-4,-0.7544632,-0.5945136,-0.2531942
277,350507-7,-0.008526986,-0.70253307,-0.15804213
278,350571-30,0.7078007,1.462296,-0.6067877
279,352580-39,-0.008530959,2.4207852,0.6597044
280,353093-92,0.007328063,2.349124,0.078480355
281,353741-128,-0.07647627,-0.038350802,0.20972475
282,353741-160,-0.2874829,0.12292951,-0.1639816
283,353741-192,-0.003927963,-0.8681014,-0.20032868
284,353741-54,-1.1348783,0.002442693,-0.030745171
285,353741-67,-0.38883007,-0.015373897,0.003725065
286,353776-4,0.020303665,-0.4206825,-0.30541554
287,354034-47,-0.004771706,1.484775,0.09463236
288,355920-104,-0.009321622,-0.9245538,-0.15182395
289,355920-40,-0.00048943795,2.3687313,-0.054480873
290,356032-50,0.006512024,2.6953552,0.030797724
291,356695-67,0.0047063376,1.9135779,0.27577177
292,356805-49,-0.52507454,0.03779325,-0.04690451
293,358878-110,2.6454072e-05,-2.910416,0.67681587
294,363391-101,-0.0032658346,-1.4129024,-0.26065448
295,363391-44,0.0024380272,2.8128114,-0.107025534
296,363391-64,0.00020495174,1.564729,0.70219386
297,363391-81,0.0160632,3.2795153,0.6611827
298,363568-127,0.0120517295,3.1263263,0.44524932
299,365555-120,-0.0088065285,2.262679,-0.9805126
300,368083-56,-0.0054215332,1.2453878,0.27651268
301,368083-72,-0.03278552,-1.9338877,1.1916276
302,368084-49,-0.008473264,-1.9304702,0.91191036
303,368170-49,-0.007119434,-2.0309384,1.0475478
304,368679-64,0.017990548,1.7557265,0.010209447
305,368679-81,0.0012334011,-0.77481794,0.66702765
306,371091-7,-0.014239666,-1.4459764,0.584574
307,313951-141,-0.00026471174,1.4619626,0.16253838
308,313951-152,0.008448091,-1.7661035,0.33532086
309,313951-187,0.009805214,1.8015696,0.17209737
310,313951-205,-0.016890598,0.9133889,-0.5063351
311,313951-237,-0.0154899135,-1.9669347,1.1278292
312,313951-248,0.00391716,1.246116,-0.56058645
313,313951-268,-0.043022238,-1.2758853,0.2955531
314,350108-117,0.0034822607,-0.7969547,0.06998045
315,352776-50,0.005880119,-2.5293305,-1.427447
316,364186-139,-0.013309905,1.2601027,-0.43109527
317,364186-74,0.0092948675,2.667052,-0.70858586
318,364186-86,0.000382173,-1.0302114,-0.30254343
319,364579-61,0.22715689,-0.12787372,-0.053533744
320,366816-167,0.020072939,-0.3713065,0.4592039
321,371547-84,0.0005673846,-2.2995207,1.1349931
322,371789-105,-0.0041539087,-1.4086237,0.44409904
323,371789-147,0.9806018,1.3557199,-0.38128835
324,371789-93,-0.00022641124,2.3290422,0.2075072
325,372150-100,-0.00507089,-1.6841788,0.7630882
326,373907-63,-0.00077852566,-1.2991863,0.45976683
327,374302-82,-0.007916752,-2.5446413,1.0984896
328,377706-66,0.038895268,-0.9508552,-0.3298497
329,377965-69,0.021627802,1.7436302,0.410549
330,377965-86,0.004260267,-1.2102271,-0.06749161
331,380508-55,-0.00070893404,1.2679042,-0.09521832
332,382081-100,4.9261726e-06,-4.965359,-0.25149882
333,382081-106,-0.00015630908,2.7112405,-0.348084
334,382081-60,-3.0156427e-05,1.40927,-0.003240201
335,382081-77,7.808827e-05,4.876712,0.2806985
336,382665-65,-0.01256315,-2.3975306,0.99941725
337,382667-61,0.00013599472,-3.1501815,1.1947473
338,382680-56,-0.0040389085,1.309954,0.646601
339,382680-63,0.012729093,-2.3037858,0.82158035
340,382681-107,0.008984537,0.9033264,0.34879267
341,382688-119,-0.008211035,-1.820547,0.91199136
