id,votacao,alpha,dim_latente
353,Vote 354,0.69670284,0.893448
354,Vote 355,-0.74906105,1.8683947
355,Vote 356,-1.2410727,-0.9650526
356,Vote 357,-1.2010202,0.80786335
357,Vote 358,-1.0509151,1.236846
358,Vote 359,-0.8349252,1.3658574
359,Vote 360,-1.2291868,-0.8064177
360,Vote 361,-0.87414527,-0.49878022
361,Vote 362,-0.4581052,-0.43320525
362,Vote 363,-0.18379755,-0.13798271
363,Vote 364,-2.6583264,0.055534415
364,Vote 365,0.16235223,-0.039037127
365,Vote 366,3.2159805,-0.52466494
366,Vote 367,0.647104,0.36868882
367,Vote 368,-1.6016608,-0.81009984
368,Vote 369,-0.69880927,-3.5311998e-05
369,Vote 370,-0.73178625,0.04433443
370,Vote 371,0.769764,0.39315504
371,Vote 372,-2.0965278,-0.29456508
372,Vote 373,1.4922541,0.98064333
373,Vote 374,-2.8079917,0.120989315
374,Vote 375,0.61698735,0.9593169
375,Vote 376,-0.43208504,-0.43980196
376,Vote 377,2.3612506,-0.039153624
377,Vote 378,-1.0717102,-0.7809488
378,Vote 379,-1.8684918,0.009900105
379,Vote 380,0.9315566,0.83271295
380,Vote 381,-2.1660316,-0.46161553
381,Vote 382,-2.1162024,-0.7352467
382,Vote 383,0.14902435,0.33332202
383,Vote 384,0.2164207,0.35417438
384,Vote 385,0.8608955,0.5368653
385,Vote 386,0.8563304,0.39629856
386,Vote 387,0.062264357,1.2007047
387,Vote 388,1.615529,0.09877334
388,Vote 389,-0.00846062,-0.75376296
389,Vote 390,5.3535113,-0.694099
390,Vote 391,-0.21764253,1.0748414
391,Vote 392,0.53402114,1.8075322
392,Vote 393,0.5069089,2.2236094
393,Vote 394,-1.7531832,-0.08871063
394,Vote 395,-1.3322678,-0.7935416
395,Vote 396,-1.7825164,-0.50184035
396,Vote 397,-1.2062043,-0.46423724
397,Vote 398,-0.7321303,-0.5577563
398,Vote 399,-2.111235,-0.3452586
399,Vote 400,-0.9939873,-0.4033978
400,Vote 401,0.3979503,-0.32784864
401,Vote 402,2.35265,-0.005287728
402,Vote 403,-2.2456067,-0.7744151
403,Vote 404,-2.0654855,-0.9642236
404,Vote 405,1.0231761,1.0547564
405,Vote 406,0.6097919,0.9121849
406,Vote 407,3.1925094,-0.45356596
407,Vote 408,-0.37834516,-0.3179809
408,Vote 409,5.406066,-0.5989803
409,Vote 410,5.6039815,-0.5677269
410,Vote 411,2.1202328,0.5800996
411,Vote 412,5.2573395,-0.6201037
412,Vote 413,-1.4995341,-0.60550165
413,Vote 414,-0.94406587,-0.59523994
414,Vote 415,-1.3407654,-0.30748352
415,Vote 416,-1.5377394,-0.52856153
416,Vote 417,-1.4724399,-0.48611632
417,Vote 418,-0.885503,-0.16402598
418,Vote 419,0.57172453,0.9445397
419,Vote 420,-2.0735517,-1.20508
420,Vote 421,-1.823058,-0.88654435
421,Vote 422,-2.161404,-1.0566218
422,Vote 423,-0.8672644,-1.9039577
423,Vote 424,-2.0148723,-0.7367898
424,Vote 425,-0.57443094,-1.394719
425,Vote 426,-0.4671447,-1.8130944
426,Vote 427,1.4430183,0.60670733
427,Vote 428,-2.0382094,-0.5031654
428,Vote 429,-2.1639364,-0.61292577
429,Vote 430,-1.4134153,-1.0460827
430,Vote 431,-2.086332,-0.7262067
431,Vote 432,-2.229897,-0.46243984
432,Vote 433,-1.8287938,-0.69115835
433,Vote 434,-1.5939424,-0.97406775
434,Vote 435,-2.4541714,-1.8727489
435,Vote 436,1.2369715,0.94213444
436,Vote 437,0.090430245,1.5816183
437,Vote 438,0.06485907,2.3297813
438,Vote 439,2.0428839,0.2407075
439,Vote 440,1.0005189,2.1802368
440,Vote 441,0.9523396,1.8903717
441,Vote 442,0.54201305,1.3611565
442,Vote 443,2.7829564,0.10169505
443,Vote 444,2.9906497,-0.7635173
444,Vote 445,5.450836,-0.44247994
445,Vote 446,-1.5374519,0.6478733
446,Vote 447,2.2001176,-1.2638836
447,Vote 448,-1.364139,-0.13364737
448,Vote 449,-0.949481,0.2412992
449,Vote 450,-1.0233043,-0.9442607
450,Vote 451,2.4062095,0.17403273
451,Vote 452,1.2155293,0.85269284
452,Vote 453,1.4436766,-0.19495137
453,Vote 454,5.124339,-0.6536975
454,Vote 455,5.45021,-0.5708334
455,Vote 456,5.5358396,-0.5168902
456,Vote 457,-0.46476096,0.40069067
457,Vote 458,5.6159716,-0.56847614
458,Vote 459,-0.61674124,-0.22145121
459,Vote 460,0.010019817,-0.2134824
460,Vote 461,2.2724612,0.04482402
461,Vote 462,0.5748118,0.39259112
462,Vote 463,2.8857622,-0.07528408
463,Vote 464,0.14004806,-0.8539662
464,Vote 465,1.3865291,1.2860587
465,Vote 466,5.656019,-0.53844064
466,Vote 467,-1.378807,0.89558095
467,Vote 468,1.2249647,0.2920598
468,Vote 469,-1.2326049,-0.5616073
469,Vote 470,-2.2152386,-0.34455565
470,Vote 471,-1.4621431,-0.35857382
471,Vote 472,-1.8643403,-0.35341817
472,Vote 473,-1.9500668,-0.41754192
473,Vote 474,-1.9494754,-0.16636932
474,Vote 475,-2.1173666,-0.3872724
